,ACTIVATION_FUNCTION1,OPTIMIZER,LEARNING RATE,EPOCHS,LOSS,INPUT1,INPUT2,TARGET,PREDICTED,ERROR
0,ReLU,Adam,0.01,100,0.4879,0,1,1,0.5853,0.4147
1,ReLU,Adam,0.01,100,0.4879,1,1,0,0.6482,0.6482
2,ReLU,Adam,0.01,1000,0.4750,0,1,1,0.5709,0.4291
3,ReLU,Adam,0.01,1000,0.4750,1,1,0,0.6453,0.6453
4,ReLU,Adam,0.01,2000,0.4618,0,1,1,0.5562,0.4438
5,ReLU,Adam,0.01,2000,0.4618,1,1,0,0.6425,0.6425
6,ReLU,Adam,0.01,5000,0.4483,0,1,1,0.5411,0.4589
7,ReLU,Adam,0.01,5000,0.4483,1,1,0,0.6397,0.6397
8,ReLU,Adam,0.01,10000,0.4346,0,1,1,0.5256,0.4744
9,ReLU,Adam,0.01,10000,0.4346,1,1,0,0.6369,0.6369
10,ReLU,Adam,0.05,100,0.6919,0,1,1,0.3008,0.6992
11,ReLU,Adam,0.05,100,0.6919,1,1,0,0.3558,0.3558
12,ReLU,Adam,0.05,1000,0.5722,0,1,1,0.3194,0.6806
13,ReLU,Adam,0.05,1000,0.5722,1,1,0,0.4334,0.4334
14,ReLU,Adam,0.05,2000,0.4687,0,1,1,0.3416,0.6584
15,ReLU,Adam,0.05,2000,0.4687,1,1,0,0.5156,0.5156
16,ReLU,Adam,0.05,5000,0.3786,0,1,1,0.3668,0.6332
17,ReLU,Adam,0.05,5000,0.3786,1,1,0,0.6056,0.6056
18,ReLU,Adam,0.05,10000,0.3006,0,1,1,0.3921,0.6079
19,ReLU,Adam,0.05,10000,0.3006,1,1,0,0.7032,0.7032
20,ReLU,Adam,0.1,100,0.6748,0,1,1,0.2925,0.7075
21,ReLU,Adam,0.1,100,0.6748,1,1,0,0.3249,0.3249
22,ReLU,Adam,0.1,1000,0.5218,0,1,1,0.2632,0.7368
23,ReLU,Adam,0.1,1000,0.5218,1,1,0,0.4004,0.4004
24,ReLU,Adam,0.1,2000,0.4627,0,1,1,0.1505,0.8495
25,ReLU,Adam,0.1,2000,0.4627,1,1,0,0.3607,0.3607
26,ReLU,Adam,0.1,5000,0.3485,0,1,1,0.0282,0.9718
27,ReLU,Adam,0.1,5000,0.3485,1,1,0,0.2904,0.2904
28,ReLU,Adam,0.1,10000,0.2739,0,1,1,0.0,1.0
29,ReLU,Adam,0.1,10000,0.2739,1,1,0,0.2377,0.2377
30,ReLU,Adam,0.9,100,0.3895,0,1,1,0.0,1.0
31,ReLU,Adam,0.9,100,0.3895,1,1,0,1.0647,1.0647
32,ReLU,Adam,0.9,1000,0.0818,0,1,1,0.0,1.0
33,ReLU,Adam,0.9,1000,0.0818,1,1,0,0.0,0.0
34,ReLU,Adam,0.9,2000,1.,0,1,1,0.0,1.0
35,ReLU,Adam,0.9,2000,1.,1,1,0,0.0,0.0
36,ReLU,Adam,0.9,5000,1.,0,1,1,0.0,1.0
37,ReLU,Adam,0.9,5000,1.,1,1,0,0.0,0.0
38,ReLU,Adam,0.9,10000,1.,0,1,1,0.0,1.0
39,ReLU,Adam,0.9,10000,1.,1,1,0,0.0,0.0
40,ReLU,Adam,1.0,100,1.,0,1,1,0.0,1.0
41,ReLU,Adam,1.0,100,1.,1,1,0,0.0,0.0
42,ReLU,Adam,1.0,1000,1.,0,1,1,0.0,1.0
43,ReLU,Adam,1.0,1000,1.,1,1,0,0.0,0.0
44,ReLU,Adam,1.0,2000,1.,0,1,1,0.0,1.0
45,ReLU,Adam,1.0,2000,1.,1,1,0,0.0,0.0
46,ReLU,Adam,1.0,5000,1.,0,1,1,0.0,1.0
47,ReLU,Adam,1.0,5000,1.,1,1,0,0.0,0.0
48,ReLU,Adam,1.0,10000,1.,0,1,1,0.0,1.0
49,ReLU,Adam,1.0,10000,1.,1,1,0,0.0,0.0
50,ReLU,Adam,0.01,100,1.,0,1,1,0.0,1.0
51,ReLU,Adam,0.01,100,1.,1,1,0,0.0,0.0
52,ReLU,Adam,0.01,1000,1.,0,1,1,0.0,1.0
53,ReLU,Adam,0.01,1000,1.,1,1,0,0.0,0.0
54,ReLU,Adam,0.01,2000,1.,0,1,1,0.0,1.0
55,ReLU,Adam,0.01,2000,1.,1,1,0,0.0,0.0
56,ReLU,Adam,0.01,5000,1.,0,1,1,0.0,1.0
57,ReLU,Adam,0.01,5000,1.,1,1,0,0.0,0.0
58,ReLU,Adam,0.01,10000,1.,0,1,1,0.0,1.0
59,ReLU,Adam,0.01,10000,1.,1,1,0,0.0,0.0
60,ReLU,Adam,0.05,100,1.,0,1,1,0.0,1.0
61,ReLU,Adam,0.05,100,1.,1,1,0,0.0,0.0
62,ReLU,Adam,0.05,1000,1.,0,1,1,0.0,1.0
63,ReLU,Adam,0.05,1000,1.,1,1,0,0.0,0.0
64,ReLU,Adam,0.05,2000,1.,0,1,1,0.0,1.0
